disease,symptoms,severity,description,precautions,specialist
"Common Cold","runny nose, sneezing, sore throat, mild fever, congestion, cough, watery eyes, fatigue, headache, body ache","Mild","A mild viral infection of the upper respiratory tract affecting the nose and throat. Symptoms are generally self-limiting and resolve within 7-10 days.","Rest and stay hydrated|Use steam inhalation for congestion|Avoid cold exposure and contact with others","General Physician"
"Influenza (Flu)","high fever, severe body ache, headache, fatigue, chills, dry cough, sore throat, runny nose, vomiting, weakness","Moderate","A contagious viral respiratory illness that is more severe than the common cold, with sudden onset of fever and body aches. Most people recover within one to two weeks with rest.","Rest and isolate to avoid spreading infection|Stay hydrated and monitor temperature|Seek care if breathing difficulty or high fever persists","General Physician"
"Migraine","severe headache, nausea, vomiting, light sensitivity, sound sensitivity, throbbing pain, blurred vision, dizziness, fatigue, one sided headache","Moderate","A neurological condition causing recurrent, often one-sided throbbing headaches, frequently accompanied by nausea and sensitivity to light and sound. Episodes can last from hours to days.","Rest in a dark, quiet room|Stay hydrated and avoid known triggers|Consult a doctor if attacks become frequent or severe","Neurologist"
"Food Poisoning","nausea, vomiting, diarrhea, stomach cramps, fever, weakness, dehydration, abdominal pain, loss of appetite, headache","Moderate","An illness caused by consuming contaminated food or water, leading to gastrointestinal distress. Most cases resolve within a few days with supportive care.","Stay hydrated with oral rehydration solutions|Eat bland, easy-to-digest food once tolerated|Seek medical care if symptoms persist beyond 2-3 days","Gastroenterologist"
"Allergic Reaction","skin rash, itching, hives, swelling, sneezing, watery eyes, runny nose, shortness of breath, redness, inflammation","Mild","An immune system response to a substance the body identifies as harmful, causing skin, respiratory, or systemic symptoms. Severity ranges from mild irritation to a serious reaction requiring urgent care.","Avoid the suspected allergen|Take antihistamines if advised by a doctor|Seek emergency care if breathing becomes difficult","Allergist"
"Dehydration","excessive thirst, dry mouth, dark urine, dizziness, fatigue, headache, dry skin, rapid heartbeat, confusion, decreased urination","Mild","A condition resulting from insufficient body fluids to carry out normal functions, often due to inadequate intake or excess fluid loss. Mild cases resolve quickly with fluid replacement.","Drink water or oral rehydration solutions steadily|Avoid excessive caffeine and alcohol|Seek care if confusion or fainting occurs","General Physician"
"Constipation","infrequent bowel movements, hard stool, straining, bloating, abdominal discomfort, stomach pain, nausea, loss of appetite, fullness","Mild","A digestive condition characterized by infrequent or difficult bowel movements. It is often related to diet, hydration, or reduced physical activity.","Increase fiber and water intake|Engage in regular physical activity|Consult a doctor if it persists beyond two weeks","Gastroenterologist"
"Diarrhea","loose stools, frequent bowel movements, stomach cramps, nausea, vomiting, dehydration, weakness, abdominal pain, urgency, bloating","Mild","A condition marked by frequent, loose, or watery bowel movements, often caused by infection or dietary factors. Most cases are short-lived and resolve with hydration and rest.","Stay hydrated with oral rehydration solutions|Eat bland, low-fiber foods until improved|See a doctor if symptoms last more than 2 days or include blood","Gastroenterologist"
"Insomnia","difficulty sleeping, waking at night, fatigue, irritability, difficulty concentrating, mood changes, anxiety, daytime sleepiness, headache, depression","Mild","A sleep disorder characterized by persistent difficulty falling or staying asleep, leading to daytime impairment. It can be triggered by stress, habits, or underlying conditions.","Maintain a consistent sleep schedule|Avoid screens and caffeine before bedtime|Consult a doctor if it persists beyond a few weeks","Sleep Specialist"
"Acne","pimples, blackheads, whiteheads, oily skin, redness, inflammation, pustules, nodules, scarring, skin tenderness","Mild","A common skin condition occurring when hair follicles become clogged with oil and dead skin cells, leading to breakouts. It most often affects the face, chest, and back.","Keep skin clean with gentle, non-comedogenic products|Avoid picking or squeezing lesions|See a dermatologist if it is severe or scarring","Dermatologist"
